"{""ImportId"":""startDate"",""timeZone"":""Europe/London""},""{""""ImportId"""":""""endDate"""",""""timeZone"""":""""Europe/London""""}"",""{""""ImportId"""":""""QID1_TEXT""""}"",""{""""ImportId"""":""""QID26""""}"",""{""""ImportId"""":""""QID27_TEXT""""}"",""{""""ImportId"""":""""QID2""""}"",""{""""ImportId"""":""""QID3""""}"",""{""""ImportId"""":""""QID24""""}"",""{""""ImportId"""":""""QID25""""}"",""{""""ImportId"""":""""QID6_1""""}"",""{""""ImportId"""":""""QID6_2""""}"",""{""""ImportId"""":""""QID6_3""""}"",""{""""ImportId"""":""""QID6_4""""}"",""{""""ImportId"""":""""QID6_5""""}"",""{""""ImportId"""":""""QID6_6""""}"",""{""""ImportId"""":""""QID6_7""""}"",""{""""ImportId"""":""""QID6_17""""}"",""{""""ImportId"""":""""QID6_18""""}"",""{""""ImportId"""":""""QID6_8""""}"",""{""""ImportId"""":""""QID6_9""""}"",""{""""ImportId"""":""""QID6_10""""}"",""{""""ImportId"""":""""QID6_11""""}"",""{""""ImportId"""":""""QID6_12""""}"",""{""""ImportId"""":""""QID6_13""""}"",""{""""ImportId"""":""""QID6_14""""}"",""{""""ImportId"""":""""QID6_15""""}"",""{""""ImportId"""":""""QID6_16""""}"",""{""""ImportId"""":""""QID6_19""""}"",""{""""ImportId"""":""""QID6_20""""}"",""{""""ImportId"""":""""SC_5zfT4VAI9AojjO6""""}"""
05/11/2021 15:04,05/11/2021 15:07,AF052,Female,42,Agree,Agree,Agree,Online,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,60
05/11/2021 18:12,05/11/2021 18:15,AF051,Female,42,Agree,Agree,Agree,Online,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,28
06/11/2021 12:36,06/11/2021 12:41,AF041,Male,55,Agree,Agree,Agree,Online,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,29
06/11/2021 15:38,06/11/2021 15:42,AF053,Male,33,Agree,Agree,Disagree,Online,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,31
07/11/2021 15:57,07/11/2021 16:03,AF038,Male,71,Agree,Agree,Agree,Online,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,41
07/11/2021 21:52,07/11/2021 22:03,AF044,Female,34,Agree,Agree,Disagree,Online,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,36
08/11/2021 14:21,08/11/2021 14:32,AF061,Female,67,Agree,Agree,Agree,Online,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,37
08/11/2021 15:30,08/11/2021 15:33,AF060,Female,61,Agree,Agree,Agree,Online,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly agree,76
08/11/2021 23:13,08/11/2021 23:17,AF055,Male,55,Agree,Agree,Disagree,Online,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,36
09/11/2021 08:54,09/11/2021 08:58,AF 062,Male,69,Agree,Agree,Agree,Online,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,47
09/11/2021 11:00,09/11/2021 11:03,AF057,Male,38,Agree,Agree,Agree,In person (at University of Stirling),Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,41
09/11/2021 16:02,09/11/2021 16:05,AF016,Female,23,Agree,Agree,Agree,Online,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,86
09/11/2021 20:10,09/11/2021 20:14,AF059,Male,54,Agree,Agree,Agree,Online,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,53
09/11/2021 23:06,09/11/2021 23:13,AF020,Male,22,Agree,Agree,Agree,Online,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,71
10/11/2021 21:06,10/11/2021 21:10,AF031,Female,57,Agree,Agree,Agree,Online,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,30
