anon_id	sex	sexpref	age	SDI1	SDI2	SDI3	SDI4	SDI5	SDI6	SDI7	SDI8	SDI9	SDI10	SDI11	SDI12	SDI13	SDI14	total
2f9b9fbd31e5d1feac3e622b6bfd59b9	female		21.8	4	4	6	2	9	9	9	9	6	0	1	2	1	3	65
c7069189c6323ee5b57aa6bc167aade6	female		27.4	2	3	7	1	2	5	4	5	1	0	2	1	1	2	36
8f7c00f590a2184562107170af71d821	male		18.4	5	5	6	7	6	8	8	6	6	6	8	7	7	4	89
e8e84256a220bda26389cf84f4a70277	female		27.9	6	7	9	7	6	8	9	9	9	5	6	6	5	7	99
33200a52d97d7f91f35191081db410a2	female		23.4	0	2	9	8	9	5	3	9	5	2	4	8	7	2	73
0e7f65b39a5fa923860ddde456ab1742	female		21.8	6	7	8	7	7	7	7	6	7	6	6	6	9	6	95
faacb5a3be201a828e421ff497ba4d3d	male		19.5	6	4	7	6	6	4	5	7	5	6	8	6	6	5	81
9b1dc566275f1e8bc84b16eb98d59bb2	male		40.2	7	7	9	8	8	5	8	3	6	7	8	9	6	6	97
5180b4ad2c31f3733d4d670f391bfabe	male		35.2	5	7	6	9	7	9	9	9	8	4	5	3	5	6	92
d1b68bbc5e945dfbfe0f5c3918295023	female		20.1	6	5	8	3	2	7	7	7	5	0	1	1	1	1	54
62aadfbc7ec63bfd5546785f54ba246b	female		29.5	4	4	6	5	6	7	7	9	6	0	3	5	5	4	71
15f400b56812686f8cad1c2f8fd70c22	male		44.0	5	5	8	7	7	8	9	8	8	4	7	3	5	5	89
0e254cb500ba128868930ad24c403d97	female		24.5	0	0	1	1	1	2	1	1	1	0	1	1	1	0	11
a96a74839f562b4fb14c6dd593bd035f	female		23.6	5	7	9	9	8	6	9	9	9	6	7	5	9	3	101
46b41d871f56b0dfbf3cff31f544ee83	female		37.9	7	7	8	5	7	9	7	7	7	4	7	3	5	3	86
f33600a3804bdd5a264c00b39b04909a	male		31.8	7	6	9	8	7	7	7	9	5	6	8	8	5	6	98
58bfa0182dd7935b7d7fe8f1afb2815e	female		18.1	5	5	8	3	4	9	8	9	6	1	2	1	1	2	64
d373f4c80d7249b155f5f120a806edf0	male		18.4	4	5	7	5	5	7	7	7	7	5	6	6	6	4	81
3261f9ee212a631a83dd8fe1398d3283	female		25.4	6	6	9	3	6	6	6	6	6	4	5	6	5	2	76
4c04cfe9688e637e5e39f32e51e6752d	female		18.2	7	7	9	9	9	9	9	8	9	7	9	9	9	8	118
89e46088db5dd9aaea28dd0d182fc39a	female		43.2	5	6	7	5	6	6	7	6	7	4	5	6	6	4	80
