"","X1","Age","Gender","BFI1","BFI2","BFI3","BFI4","BFI5","BFI6","BFI7","BFI8","BFI9","BFI10","BFI11","BFI12","BFI13","BFI14","BFI15","BFI16","BFI17","BFI18","BFI19","BFI20","BFI21","BFI22","BFI23","BFI24","BFI25","BFI26","BFI27","BFI28","BFI29","BFI30","BFI31","BFI32","BFI33","BFI34","BFI35","BFI36","BFI37","BFI38","BFI39","BFI40","BFI41","BFI42","BFI43","BFI44","BFI45","BFI46","BFI47","BFI48","BFI49","BFI50","BFI51","BFI52","BFI53","BFI54","BFI55","BFI56","BFI57","BFI58","BFI59","BFI60"
"104",104,19,2,3,4,4,2,2,4,5,5,2,4,2,2,3,4,4,3,2,2,3,5,2,2,3,2,2,4,5,4,2,3,4,4,2,4,5,3,3,3,4,4,3,3,5,3,2,3,2,3,3,1,2,5,3,4,2,3,4,3,4,3
"105",105,18,1,4,5,2,5,1,5,4,2,5,5,3,1,3,3,4,3,1,3,2,5,2,2,3,4,1,2,4,2,4,1,4,4,3,2,5,4,3,4,3,5,4,1,4,4,2,4,2,2,4,2,3,3,4,3,2,4,4,4,2,4
"106",106,18,2,2,5,2,4,2,4,5,4,4,5,1,2,3,4,4,4,1,4,4,4,2,2,4,3,1,4,5,4,3,3,5,4,2,5,4,3,2,3,3,5,3,2,5,4,2,4,1,3,2,2,4,4,4,2,2,3,4,2,2,2
"107",107,21,2,2,4,4,2,2,3,4,4,2,4,2,2,3,3,2,4,2,2,3,4,1,2,4,3,2,4,4,5,2,3,4,3,2,4,4,4,2,3,4,4,2,2,4,3,2,1,2,3,2,1,2,4,2,4,2,2,4,2,3,2
"108",108,19,2,4,4,3,2,2,5,5,4,3,4,2,2,3,4,4,1,2,3,4,4,5,2,4,3,1,3,5,5,2,1,3,4,3,4,4,3,2,4,3,4,4,3,4,2,3,1,3,2,2,2,2,5,4,3,3,4,3,2,3,3
"109",109,20,1,3,4,2,4,3,3,4,4,4,3,2,2,4,4,4,4,2,3,3,3,2,1,4,4,2,4,4,4,2,4,4,3,3,2,3,3,2,4,3,4,3,2,4,4,1,3,2,3,4,5,4,4,2,4,4,3,4,3,2,4
"110",110,25,2,5,4,1,2,4,4,4,1,5,5,2,1,5,4,4,1,2,5,5,3,5,4,1,4,1,5,5,1,2,5,2,5,5,5,5,2,4,5,2,5,5,2,5,4,2,5,2,1,4,2,2,5,5,1,2,4,4,1,5,4
"111",111,21,2,1,3,4,2,1,1,5,4,2,4,4,2,3,4,4,5,1,4,4,5,2,2,4,2,2,5,4,4,4,1,5,4,3,4,5,5,2,3,4,5,2,2,3,2,1,1,3,3,2,2,4,4,4,4,1,2,5,4,2,3
"112",112,18,2,4,5,5,1,2,4,4,4,4,5,1,2,4,5,4,1,1,1,4,4,1,1,2,3,2,3,4,4,2,2,4,4,1,5,4,3,4,4,3,4,4,5,4,3,2,5,4,4,2,2,1,4,4,1,4,4,4,2,4,4
"113",113,21,2,5,5,3,2,2,4,5,3,2,5,2,2,4,4,3,1,1,3,4,4,2,2,4,3,2,2,5,1,2,1,2,4,3,5,4,3,2,4,3,5,4,4,5,3,2,4,2,1,1,1,2,4,4,4,3,4,4,2,4,4
"114",114,20,2,5,5,4,2,2,5,5,4,2,5,1,3,4,4,4,3,1,3,4,4,3,4,3,1,2,2,5,2,2,1,5,5,4,5,5,2,2,4,4,5,4,4,5,3,1,4,1,1,2,3,3,5,4,4,2,4,3,3,4,4
"115",115,19,2,4,4,2,2,3,3,4,4,1,5,2,2,3,4,4,2,2,4,4,4,2,3,4,2,2,2,4,3,2,2,2,4,3,4,4,3,4,3,4,4,3,5,4,2,2,4,3,2,2,2,3,4,3,3,2,3,2,2,4,3
"116",116,18,1,4,5,2,4,4,5,4,2,2,4,1,2,4,4,4,2,1,4,4,4,2,4,2,4,2,1,4,4,2,2,4,5,4,5,2,2,2,4,4,4,5,4,5,4,2,5,4,1,4,2,4,4,4,2,2,4,4,4,4,4
"117",117,47,2,4,4,2,4,2,4,5,1,4,5,1,2,4,2,4,4,1,3,2,4,2,2,2,4,2,2,4,2,4,2,4,4,2,4,4,3,1,4,2,4,3,3,4,4,2,4,2,2,4,1,3,4,4,2,2,4,4,2,2,4
"118",118,18,2,5,4,3,2,3,4,4,5,2,3,1,4,2,4,4,1,1,2,4,3,4,2,4,3,3,5,5,3,2,4,1,3,2,4,1,2,3,4,4,4,4,4,4,2,2,5,3,4,2,4,4,4,2,3,4,4,4,4,4,2
"119",119,18,2,3,4,4,2,2,2,5,2,3,4,2,1,4,5,2,4,2,3,2,5,1,2,4,2,1,2,4,3,2,3,4,3,3,5,5,4,2,3,4,5,3,4,4,2,2,3,2,2,1,1,4,5,5,2,1,3,4,2,2,2
"120",120,19,2,5,3,5,3,1,3,4,5,2,4,2,3,5,4,4,1,2,4,4,3,4,2,1,5,1,3,4,5,5,1,1,2,2,4,5,1,4,4,2,4,4,2,4,5,2,5,4,4,2,5,3,4,4,2,2,4,4,3,4,5
"121",121,50,2,4,4,1,5,1,4,5,4,4,5,1,3,3,3,3,2,1,5,2,5,2,3,4,5,2,2,5,2,5,3,4,4,4,1,5,3,1,4,2,3,4,1,3,4,2,3,3,1,4,1,5,5,2,2,1,4,5,2,1,4
"122",122,19,2,2,4,1,2,3,4,4,2,2,4,2,2,4,3,4,4,2,4,4,3,2,2,2,2,2,4,4,2,3,3,4,4,4,4,3,4,2,3,3,4,3,4,4,3,2,2,2,2,2,4,2,4,4,4,2,3,3,2,3,3
"123",123,21,2,5,4,2,1,2,4,4,3,1,5,1,2,4,5,4,1,1,5,4,3,4,2,2,4,1,1,5,3,1,1,2,4,5,5,5,1,3,5,4,5,4,2,4,2,2,5,1,1,1,3,3,4,4,4,3,4,4,2,5,4
"124",124,19,2,3,5,4,3,2,4,5,4,4,5,3,2,3,3,4,3,1,4,4,3,2,4,4,3,1,4,5,4,3,2,4,5,3,4,4,2,2,4,5,5,4,3,4,2,3,3,3,4,2,2,3,4,4,5,2,3,4,4,3,4
"125",125,19,1,5,5,2,4,5,4,4,3,4,2,3,2,5,1,4,3,1,5,4,2,4,2,5,4,2,3,4,4,5,5,4,4,5,3,1,4,1,4,2,3,3,3,4,5,2,3,1,1,5,4,3,5,5,1,5,3,3,3,2,2
"126",126,18,2,4,5,4,2,3,5,5,5,1,4,2,3,2,5,5,1,1,4,5,5,5,5,5,5,1,4,5,1,1,2,4,5,3,4,4,1,4,5,4,4,2,5,5,5,1,5,4,1,1,2,1,4,2,2,2,3,2,4,5,5
"127",127,19,2,4,5,5,5,5,4,4,4,5,5,3,3,3,4,4,2,1,1,1,4,3,1,5,3,1,4,4,4,3,3,1,4,1,1,1,3,4,5,3,4,4,4,5,4,1,3,2,5,4,1,3,3,3,2,2,4,4,4,4,4
"128",128,18,2,2,3,5,2,1,4,4,5,2,4,2,3,2,4,4,3,2,2,4,4,4,4,4,3,3,4,4,4,3,2,3,2,2,3,4,2,4,3,3,3,2,4,4,3,2,3,3,4,3,2,2,3,3,2,2,3,2,4,4,4
"129",129,18,2,2,4,5,2,1,5,4,3,2,5,2,3,4,2,5,4,1,2,4,5,4,4,3,3,1,2,5,4,3,1,4,4,2,5,5,1,4,4,4,4,3,5,4,3,1,3,2,4,1,2,1,4,5,4,1,4,1,2,4,5
"130",130,19,2,2,4,4,2,1,4,4,3,2,5,2,2,3,4,2,4,1,2,5,5,1,2,4,2,1,4,4,4,2,2,5,4,2,5,5,4,2,2,4,4,2,2,3,2,2,2,2,3,1,1,4,4,4,4,2,2,3,2,4,3
"131",131,18,1,5,5,2,3,3,3,5,1,4,5,1,2,4,2,5,1,1,5,5,4,5,1,2,4,3,2,5,2,5,1,3,5,5,5,3,2,2,5,2,5,5,2,5,4,2,5,1,2,3,3,2,4,5,2,3,4,4,4,3,5
"132",132,18,2,4,5,4,2,4,4,4,4,2,4,2,4,2,4,3,3,1,3,4,3,2,2,4,4,2,2,4,4,2,4,4,4,2,4,2,3,3,3,3,4,3,4,5,2,4,3,4,3,4,3,4,4,4,2,2,3,4,4,4,3
"133",133,18,2,2,5,4,1,2,3,5,4,1,5,2,2,4,2,5,5,1,2,4,5,1,1,3,1,2,4,5,4,2,2,5,5,2,5,5,4,1,2,5,5,2,2,5,2,2,4,2,2,1,1,5,5,4,5,1,2,5,2,1,3
"134",134,23,2,4,4,4,1,2,5,4,2,4,5,1,1,4,4,3,2,1,1,4,5,1,1,1,4,1,1,4,4,3,1,4,4,1,4,4,1,1,4,2,4,4,4,4,3,1,4,1,3,1,1,1,4,4,3,1,4,3,1,4,4
"135",135,21,2,3,5,2,3,4,5,5,2,2,5,2,2,4,4,3,4,1,3,5,3,2,2,2,3,2,4,4,2,2,4,4,4,3,4,3,3,1,4,3,5,3,2,4,3,1,3,2,2,2,3,3,4,4,2,2,3,4,2,2,3
"136",136,23,2,5,4,4,2,1,4,5,2,4,5,1,1,5,2,4,1,2,2,2,5,4,2,4,5,1,4,5,4,5,2,1,4,3,4,4,2,1,5,2,4,4,3,4,4,1,5,1,2,4,1,2,4,5,2,2,4,4,1,2,4
"137",137,18,2,3,4,3,3,1,3,4,4,3,4,2,3,4,3,4,3,2,4,4,5,3,3,4,3,3,3,4,2,3,2,4,4,3,4,4,3,3,4,2,4,3,3,4,4,3,3,2,1,3,2,2,4,4,3,2,4,3,3,2,4
"138",138,21,2,4,3,5,1,2,3,3,5,1,4,4,2,3,5,3,2,2,2,4,4,3,3,4,1,2,5,4,5,2,2,3,2,2,4,4,3,4,4,5,5,2,5,4,2,2,4,4,5,2,2,2,4,4,5,2,2,2,4,5,4
"139",139,22,2,4,4,3,3,2,4,3,2,4,4,1,3,4,4,5,2,1,4,4,3,3,4,3,4,1,2,4,4,2,2,3,3,3,5,4,2,4,4,3,4,4,4,4,3,1,4,4,1,2,4,2,4,4,3,3,5,4,4,4,4
"140",140,18,2,5,5,5,2,3,4,4,5,4,4,2,2,2,4,4,1,2,2,2,4,4,4,4,3,1,4,4,5,3,4,1,4,1,2,4,2,4,4,2,4,3,4,5,4,2,5,2,4,4,2,2,3,2,3,4,4,4,4,5,3
"141",141,18,2,5,4,3,4,4,4,5,2,5,3,1,2,3,2,3,1,1,5,1,1,3,2,3,4,4,1,5,4,5,4,2,4,4,3,1,2,2,4,2,4,5,2,5,5,3,5,4,1,4,3,4,5,4,2,4,5,5,3,3,4
"142",142,21,2,5,5,3,2,1,5,5,1,5,5,1,1,5,3,5,2,2,5,5,5,3,4,3,4,1,2,5,3,2,1,4,5,4,5,5,3,5,5,3,4,4,2,5,3,2,4,1,1,1,1,1,5,5,3,1,5,4,2,2,4
"143",143,28,1,4,3,2,4,4,3,4,4,4,4,3,2,4,2,3,2,2,4,3,3,3,2,4,4,2,2,4,4,4,3,4,4,3,3,3,3,2,4,2,3,4,3,4,4,2,4,3,2,4,3,3,4,4,2,2,4,3,2,2,3
"144",144,18,2,5,5,4,1,2,4,4,4,2,5,3,2,2,5,5,2,1,4,5,2,4,4,4,4,2,2,4,4,2,2,3,5,4,5,2,2,4,4,4,5,3,5,4,4,2,5,2,1,2,2,1,4,4,4,3,2,3,4,4,5
"145",145,18,2,3,4,1,2,2,4,5,3,3,4,1,3,5,4,5,3,2,4,4,4,4,2,2,5,1,1,5,1,1,1,3,4,5,5,4,1,4,5,4,5,5,3,5,3,1,4,4,1,3,2,2,5,5,3,2,4,3,4,5,5
"146",146,19,2,4,4,5,2,1,3,5,2,4,5,1,1,3,2,3,2,1,2,4,5,2,1,2,4,2,3,4,4,3,2,4,4,2,4,5,3,3,4,2,4,4,4,4,3,2,4,2,2,1,1,2,4,4,2,1,3,3,3,2,4
"147",147,20,1,2,5,5,4,1,2,5,1,5,5,1,1,2,2,5,4,1,1,1,5,1,2,1,4,1,1,1,4,4,1,4,2,1,2,5,4,1,4,2,5,4,1,5,3,1,2,4,4,4,2,1,4,5,1,1,4,5,4,1,4
"148",148,20,2,4,5,4,2,2,4,4,4,4,5,1,4,2,4,2,2,1,4,5,4,2,4,4,5,2,4,5,5,2,2,4,4,2,4,4,2,4,4,2,5,4,4,4,2,2,4,1,2,2,2,3,4,5,2,2,4,4,4,2,5
"149",149,18,2,4,5,1,2,3,4,4,3,3,4,1,4,5,2,4,1,1,5,5,3,3,3,2,4,2,5,5,2,2,4,2,4,4,4,3,2,4,4,4,5,5,4,4,3,2,5,1,1,2,4,3,4,5,2,3,4,2,2,3,2
"150",150,19,2,4,5,2,4,1,4,5,3,3,4,2,3,4,2,4,2,1,4,4,4,3,4,2,3,2,4,5,3,4,1,4,4,4,4,4,3,2,4,2,4,4,4,5,4,1,3,2,1,3,1,2,4,4,2,1,4,3,3,2,4
"151",151,19,2,5,5,2,2,3,3,5,2,2,4,1,1,4,4,4,2,1,4,4,4,2,2,2,3,2,2,5,2,2,2,2,4,4,4,3,4,2,4,4,3,4,4,5,3,1,4,1,1,1,3,2,4,5,3,3,4,3,2,4,4
"152",152,20,2,5,5,5,5,4,4,5,5,4,4,1,2,2,2,3,1,1,2,3,4,3,1,5,2,1,5,5,5,5,3,1,5,1,4,3,2,1,4,2,4,3,3,4,4,2,5,4,5,5,2,3,3,2,2,3,4,4,4,2,3
"153",153,19,2,5,5,4,3,4,3,5,4,4,4,4,4,3,2,3,1,1,2,4,2,1,4,4,3,5,2,5,4,4,2,1,5,2,5,4,2,1,2,4,2,4,4,5,4,2,5,1,3,1,4,2,5,3,2,3,4,4,2,5,4
"154",154,18,2,4,5,4,2,1,4,5,3,2,5,1,3,2,4,4,2,1,3,5,5,3,2,3,2,1,1,5,3,1,1,4,5,2,5,5,2,1,4,5,5,5,4,5,2,1,4,1,2,2,1,3,5,5,5,2,5,5,4,4,4
"155",155,18,2,5,3,4,3,3,4,5,4,4,5,2,2,3,4,3,3,3,3,4,4,2,2,2,3,3,2,4,4,2,2,2,3,2,3,4,3,2,4,2,4,3,2,4,2,2,3,3,3,2,2,2,4,3,2,2,4,4,3,2,4
"156",156,26,2,1,2,3,2,2,2,4,4,2,3,3,2,2,4,4,1,4,3,2,5,4,1,5,2,1,4,5,4,1,4,1,2,2,4,5,2,1,4,2,5,3,2,4,4,2,1,2,2,4,1,2,5,4,4,1,2,2,4,4,2
"157",157,19,2,4,5,4,3,1,5,5,5,2,4,1,2,4,3,4,1,1,2,4,5,2,2,4,3,1,3,5,4,2,1,4,4,2,4,5,2,4,3,2,4,4,3,5,4,1,5,2,3,3,1,3,4,3,1,2,4,4,4,3,4
"158",158,40,1,5,4,3,4,2,4,4,2,4,4,2,2,4,2,4,3,2,3,4,4,3,3,2,4,1,2,4,3,4,2,3,4,3,2,4,2,2,4,2,5,4,1,4,4,2,3,1,1,4,1,2,4,4,1,1,5,4,2,2,4
"159",159,18,2,4,5,2,1,2,3,5,2,3,5,1,3,4,5,5,2,1,3,4,3,4,3,4,4,2,1,5,4,2,1,3,5,4,5,3,2,4,4,2,4,5,3,5,2,2,5,4,2,3,2,2,5,5,2,3,4,4,3,3,4
"160",160,21,2,5,4,4,4,2,4,5,2,4,5,1,1,4,2,3,1,1,2,3,4,4,1,1,5,1,1,5,5,5,2,1,4,3,5,5,2,3,4,2,5,5,1,5,5,2,4,4,1,5,1,1,4,4,1,1,4,4,5,3,3
"161",161,19,2,2,4,4,4,2,3,4,4,2,3,2,1,3,4,4,4,1,2,4,4,1,4,4,4,1,5,5,5,2,1,4,5,3,5,5,5,5,4,4,5,2,4,5,2,1,4,2,1,4,2,2,4,4,3,5,3,3,2,5,4
"162",162,25,2,4,3,2,3,3,3,4,2,2,5,2,1,1,3,3,4,2,4,2,3,1,2,3,2,2,4,4,3,4,3,4,3,3,4,3,3,2,3,3,3,3,3,4,4,2,2,2,2,4,2,2,4,3,3,2,3,3,2,2,2
"163",163,18,2,4,4,2,2,2,4,5,4,3,4,2,2,4,5,3,2,1,2,4,4,2,4,2,4,2,4,5,4,2,3,4,4,3,5,4,2,3,3,2,4,3,4,4,2,2,4,2,2,3,2,2,4,4,3,2,4,2,4,4,3
"164",164,27,1,5,4,3,2,2,4,4,3,3,2,2,4,3,3,4,2,2,4,4,5,4,4,3,2,3,2,4,2,2,2,2,4,4,4,4,2,3,4,4,4,4,4,4,2,2,4,2,2,2,3,4,4,4,3,4,4,3,4,4,4
"165",165,19,2,3,3,3,2,2,4,5,3,2,3,2,3,4,4,3,3,2,3,4,3,3,2,1,3,1,4,4,4,3,4,4,4,3,3,4,3,2,5,3,5,3,2,4,3,2,4,2,3,2,2,2,4,5,4,3,3,3,3,3,2
"166",166,19,1,4,4,5,4,1,4,4,5,3,5,2,3,2,4,4,4,1,2,4,5,3,2,1,4,1,3,5,5,4,1,4,4,1,3,4,3,3,3,4,5,3,4,4,4,1,3,2,4,3,2,3,3,1,4,1,4,3,4,3,4
"167",167,18,2,4,4,4,2,2,4,4,2,4,4,2,3,4,2,3,2,2,3,4,4,2,3,3,4,1,4,4,3,3,4,3,4,2,4,4,3,3,4,3,4,3,2,5,3,3,4,2,2,3,2,2,4,4,2,2,3,4,3,4,2
"168",168,18,1,5,5,4,5,2,4,4,4,4,4,2,2,4,1,4,1,2,4,3,4,4,4,4,5,5,2,4,4,4,1,2,4,3,3,4,2,4,4,2,4,4,4,4,4,3,5,3,2,4,2,2,4,4,2,2,4,4,4,4,4
"169",169,18,2,2,5,5,2,1,4,5,2,5,5,4,2,4,3,4,5,4,5,5,5,1,1,3,1,2,1,5,5,2,1,5,5,2,4,5,4,2,3,5,5,4,5,5,2,2,1,5,4,2,1,2,4,3,5,2,4,2,3,1,4
"170",170,19,2,3,5,2,3,4,4,5,4,2,4,4,1,4,4,4,3,1,4,4,2,2,2,3,4,1,3,4,3,2,3,4,4,3,3,2,2,4,4,4,5,3,4,5,3,2,3,2,3,3,3,3,4,4,4,2,3,3,2,3,3
"171",171,19,2,4,4,5,2,1,3,5,5,4,5,2,1,2,5,5,4,1,2,4,4,4,4,4,4,1,2,4,5,2,1,4,5,1,4,4,2,3,2,4,5,4,5,5,2,2,5,5,5,2,2,2,5,2,4,2,4,5,3,4,5
"172",172,19,1,2,4,2,4,2,4,4,3,2,4,2,3,4,4,4,4,4,4,4,4,2,3,3,2,3,2,4,4,2,1,4,4,3,4,4,3,4,4,2,4,4,3,4,3,2,2,3,2,2,2,3,4,4,3,4,4,3,3,4,4
"173",173,21,2,4,4,4,4,2,4,4,2,4,4,2,2,4,2,3,3,2,2,4,5,4,1,2,4,1,1,5,4,4,2,2,4,2,2,3,1,2,4,2,3,4,1,5,5,4,2,2,1,4,2,1,4,4,1,4,3,5,2,2,2
"174",174,18,2,2,4,4,2,2,4,5,4,4,5,2,2,2,4,4,4,2,4,4,4,1,2,4,2,4,4,4,4,2,2,5,4,2,4,4,4,2,4,4,4,2,4,4,2,2,4,2,4,2,1,2,4,4,4,2,4,4,4,4,4
"175",175,24,2,5,5,4,2,2,4,5,3,2,5,1,4,5,3,4,1,1,2,4,4,4,3,2,4,2,3,5,4,3,1,4,4,3,5,5,3,1,5,3,4,3,4,4,2,2,5,1,2,2,1,1,5,5,3,1,5,3,1,4,5
"176",176,22,2,5,4,5,4,1,3,4,3,4,5,1,2,3,4,4,1,1,2,4,5,3,4,5,3,1,3,4,4,2,2,3,4,2,3,5,3,3,3,2,4,4,2,4,3,1,5,1,4,3,1,3,4,2,3,1,4,5,4,3,4
"177",177,25,1,4,4,2,3,4,4,4,2,2,4,2,5,4,4,3,2,2,4,4,2,4,4,2,4,3,2,4,2,2,4,3,3,4,4,4,2,4,4,3,5,4,4,3,4,4,4,2,2,2,3,2,4,3,4,2,4,3,2,4,2
"178",178,29,1,5,5,4,2,2,4,5,4,2,3,4,2,4,1,4,2,2,2,5,3,2,1,4,2,2,4,5,4,5,1,5,4,2,4,3,1,1,4,3,5,2,3,5,5,1,4,1,2,1,4,4,5,3,3,4,2,3,1,1,4
"179",179,23,2,4,5,1,4,1,5,5,1,3,5,2,2,4,4,4,3,2,4,4,5,3,2,3,3,1,4,5,2,2,2,4,5,4,5,5,3,2,4,4,4,4,3,5,4,2,3,2,1,2,1,2,5,4,4,1,4,4,3,3,4
"180",180,18,2,4,5,4,2,2,3,4,3,2,4,2,5,2,4,4,2,1,4,4,3,2,5,3,3,3,2,1,4,1,1,1,4,3,4,4,2,4,3,3,4,3,4,4,1,1,4,3,2,2,3,3,4,3,3,2,3,2,3,4,4
"181",181,21,2,4,5,1,3,2,4,5,4,4,4,3,2,4,2,4,2,2,4,3,3,2,2,2,4,2,4,5,2,4,2,4,4,4,5,3,4,4,4,2,4,3,3,4,4,2,4,2,1,3,2,2,4,4,2,3,4,4,1,2,4
"182",182,23,2,3,5,5,4,1,3,4,5,4,5,2,1,1,2,3,4,1,2,4,5,2,1,5,4,2,4,5,5,4,2,4,4,3,3,5,4,2,3,2,4,3,3,4,4,1,3,2,4,2,1,4,4,3,4,1,3,4,4,2,4
"183",183,20,1,4,3,4,3,4,3,4,4,4,4,1,2,3,3,3,2,4,4,5,3,4,4,2,4,2,2,3,4,3,2,2,4,3,2,2,2,4,3,2,4,4,4,3,4,1,4,4,1,2,2,2,4,2,2,2,4,3,2,4,4
"184",184,19,2,4,5,1,5,2,3,5,4,3,5,1,2,2,3,4,2,1,3,1,4,2,2,4,5,2,1,5,1,4,2,3,5,5,5,4,2,2,4,2,2,4,2,5,4,1,5,1,1,4,2,2,4,3,1,1,4,4,4,4,5
"185",185,20,2,4,4,1,2,2,3,4,2,2,4,1,2,4,4,3,3,2,5,4,4,2,2,2,2,1,2,4,2,2,2,4,4,4,5,4,3,2,3,4,4,4,2,4,2,2,3,1,1,1,1,1,4,4,4,2,4,3,2,3,3
"186",186,18,2,4,4,4,2,3,4,5,3,2,5,1,2,5,2,5,4,1,3,4,3,2,1,1,4,1,2,5,4,3,2,4,4,2,5,4,3,4,5,2,4,4,4,5,4,1,2,2,3,2,2,4,5,5,2,1,3,2,3,4,4
"187",187,19,1,5,5,5,1,1,4,4,4,1,4,4,3,2,4,4,4,4,2,4,5,2,1,5,4,1,4,5,5,1,1,5,4,2,4,4,3,2,3,5,5,1,5,5,5,1,5,5,2,2,1,5,4,1,5,1,2,2,4,2,4
"188",188,19,2,4,5,3,2,4,4,5,2,4,5,1,2,3,5,5,1,1,4,4,3,3,1,3,4,1,2,5,4,1,2,4,5,3,5,3,2,3,4,2,5,4,2,5,1,2,4,1,2,2,3,2,5,4,3,3,4,5,4,5,4
"189",189,20,2,2,5,4,1,2,2,5,5,1,5,1,2,2,5,3,4,1,2,5,4,1,1,4,1,1,1,5,2,1,4,5,5,2,5,4,3,2,3,5,5,2,2,4,1,1,3,1,3,1,3,4,4,1,5,1,4,4,2,5,1
"190",190,23,2,2,4,2,3,1,4,4,1,2,5,3,2,4,2,4,4,1,4,4,5,4,2,2,2,1,2,4,3,4,1,4,3,3,2,5,2,2,4,4,4,4,4,4,4,2,2,2,2,4,1,2,4,3,4,2,3,4,2,2,5
"191",191,18,2,5,4,5,4,1,4,4,5,2,4,1,5,1,5,5,1,2,1,5,5,5,5,5,5,1,1,4,5,1,4,2,4,1,5,5,1,4,3,4,5,5,5,5,2,2,5,4,5,2,1,1,5,1,3,1,5,2,5,5,4
"192",192,18,2,4,5,5,4,4,4,4,4,4,4,4,2,4,2,4,2,2,1,2,3,3,2,4,5,2,2,5,4,4,1,4,4,2,4,3,3,2,4,3,4,4,2,5,4,2,3,2,2,2,2,2,4,5,2,2,4,4,2,4,4
"193",193,22,2,4,4,5,1,3,2,3,5,2,2,1,4,2,4,4,1,2,1,5,4,1,4,4,3,1,3,4,5,1,1,2,4,1,4,2,2,4,4,5,5,3,4,4,2,1,5,2,5,3,4,3,3,2,4,2,4,2,4,5,5
"194",194,20,2,3,4,2,1,4,3,4,2,1,3,1,1,3,5,3,3,1,5,5,4,1,3,4,1,4,2,4,1,1,3,5,4,4,4,3,4,4,4,4,5,5,3,5,2,2,2,4,2,2,2,4,5,4,3,3,4,4,3,4,3
"195",195,19,2,3,4,2,2,1,4,5,3,2,3,1,1,4,2,3,3,1,3,3,3,2,1,3,3,3,2,4,3,2,2,4,4,4,5,4,3,2,4,1,3,4,3,4,3,2,4,1,1,2,2,2,4,5,2,3,4,4,3,2,3
"196",196,18,2,4,5,5,1,4,3,5,4,2,5,2,2,4,4,4,4,1,1,5,3,1,1,4,3,2,4,5,4,2,4,5,4,1,5,2,3,4,3,2,4,3,2,5,3,2,2,4,5,1,4,2,4,4,3,3,4,4,1,2,3
"197",197,19,2,4,4,1,3,1,4,4,2,3,4,1,3,4,3,4,1,1,4,4,4,4,4,4,3,1,2,4,4,3,1,1,4,4,4,4,1,3,4,2,4,4,3,4,3,1,4,2,1,3,1,1,4,4,1,1,4,4,2,4,4
"198",198,19,2,4,4,4,2,2,3,4,2,5,5,1,2,2,4,4,2,2,2,4,5,2,1,3,5,1,1,4,4,3,1,3,4,2,3,5,2,3,2,2,4,5,2,4,3,1,4,4,3,2,1,3,3,2,1,1,5,5,4,3,5
"199",199,20,2,4,5,5,2,2,5,4,5,3,5,1,2,2,4,3,1,1,3,4,4,4,3,4,2,2,3,5,5,2,2,2,4,2,4,4,2,3,5,4,4,4,2,4,4,2,5,2,2,2,2,2,4,3,4,2,4,4,4,4,4
"200",200,19,2,4,4,3,3,2,2,5,4,3,4,2,2,4,2,4,4,2,3,4,4,3,2,4,4,2,4,4,4,3,2,3,4,3,4,4,3,3,4,2,4,3,3,4,4,2,3,3,3,2,2,2,4,4,2,2,4,4,3,3,4
"201",201,20,1,2,3,2,4,4,2,2,4,2,2,4,4,3,4,4,5,4,4,4,3,4,4,3,4,2,4,2,4,2,3,4,2,3,4,4,4,4,3,5,5,4,4,3,2,2,1,4,2,2,2,4,2,4,5,2,2,1,4,5,5
"202",202,19,2,4,4,2,2,1,2,5,3,2,5,2,3,4,4,4,3,2,3,4,5,3,2,4,2,2,2,4,4,2,2,4,4,3,4,4,2,3,3,4,4,3,3,4,4,2,4,3,2,2,2,4,4,4,4,2,4,4,2,3,4
"203",203,19,2,4,5,5,2,1,3,4,4,2,4,2,2,2,4,4,2,1,2,4,5,2,1,4,2,2,4,5,5,2,1,4,4,1,5,5,2,2,3,4,5,3,2,4,3,1,4,1,3,3,1,3,4,2,4,1,4,5,4,2,5
"204",204,21,1,3,5,2,4,4,4,5,4,2,3,2,3,2,2,4,4,4,2,4,2,3,2,4,2,2,2,4,4,4,2,5,5,2,4,3,3,2,4,3,4,3,5,5,5,3,3,2,2,3,5,4,4,4,2,4,3,4,2,2,3
"205",205,19,2,4,4,2,3,2,3,4,3,4,4,2,3,4,3,4,3,2,4,4,4,3,2,3,4,2,3,4,3,4,2,3,4,4,4,4,3,4,4,2,4,4,4,4,4,2,4,3,2,2,2,3,4,4,2,2,4,4,3,3,4
"206",206,19,2,5,5,1,3,3,4,4,4,4,3,2,2,5,1,5,3,1,5,4,4,2,3,3,3,2,3,4,2,3,4,4,4,5,4,3,3,3,4,3,4,4,3,5,3,3,5,2,1,4,2,1,4,4,3,3,3,3,3,3,3
"207",207,18,2,4,4,1,3,1,4,5,3,3,5,1,2,3,4,3,2,1,4,4,5,2,1,3,2,1,3,5,1,3,2,2,4,4,5,4,2,1,4,4,4,4,2,5,3,1,4,2,1,3,1,3,5,5,4,2,4,5,2,4,4
"208",208,18,2,4,5,4,2,2,3,4,4,3,4,2,3,4,2,4,3,2,3,4,4,2,1,4,2,3,4,4,4,2,2,4,4,2,4,3,2,2,3,3,4,3,4,4,2,2,3,2,2,4,2,3,4,4,3,2,4,3,3,4,3
"209",209,19,2,4,5,5,1,5,5,4,5,2,4,1,1,3,4,4,1,1,2,4,4,4,2,4,3,1,4,4,5,2,5,2,4,1,5,5,2,1,4,5,5,3,1,5,2,1,5,1,4,1,1,1,4,4,5,5,4,5,4,4,4
