Age	Sex	Education	LN	EHI1	EHI2	EHI3	EHI4	EHI5	EHI6	EHI7	EHI8	EHI9	EHI10	FLI1	FLI2	FLI3	FLI4	FLI5	FLI6	FLI7	FLI8	FLI9	FLI10	FLI_recznosc_samoocena	FLI_uszkodzenia
21	1	2	13	1	1	1	1	1	1	2	1	1	1	100	100	100	100	100	999	98	98	90	100	1	0
19	1	2	12	1	1	1	1	1	3	1	1	1	1	100	100	100	100	50	50	50	100	75	100	1	0
21	1	1	14	1	1	1	1	1	1	3	1	1	1	100	100	50	100	0	50	100	100	50	100	1	0
26	2	4	20	1	1	1	1	1	1	1	1	1	3	100	100	90	70	999	999	70	80	70	100	1	0
33	1	4	16	1	1	1	1	1	1	2	1	3	1	100	100	100	75	60	999	85	95	65	100	1	0
22	1	2	15	1	1	1	1	1	3	2	1	2	1	98	98	50	60	70	50	50	90	50	80	1	0
23	2	4	16	1	1	1	1	1	1	1	1	2	1	100	100	100	100	100	0	100	100	50	100	1	0
24	1	4	17	2	1	1	1	2	2	1	1	1	1	0	0	100	100	50	50	100	100	50	100	2	0
20	2	2	14	1	1	1	1	1	1	1	1	2	1	100	100	90	80	50	50	60	90	55	100	1	0
36	2	4	21	1	2	3	3	1	3	3	1	3	3	100	100	75	75	100	50	98	75	50	0	3	1
23	1	2	16	2	2	2	2	2	2	3	2	2	2	0	0	0	40	0	0	0	0	50	0	2	0
20	1	2	15	2	2	2	2	2	2	2	2	2	2	0	0	30	10	5	10	0	0	20	0	2	0
40	1	4	19	1	1	1	1	1	1	1	1	1	3	100	100	80	90	999	80	90	80	80	100	1	0
23	1	2	16	1	1	1	1	1	1	2	1	2	1	100	100	100	100	50	100	100	100	100	100	1	0
19	2	1	13	1	1	1	1	1	1	1	1	1	1	100	100	50	50	50	50	50	50	50	98	3	0
32	1	4	18	2	1	1	1	2	3	3	1	3	1	0	0	50	70	50	50	50	90	50	100	3	0
21	2	2	15	2	2	3	2	2	2	2	3	3	3	0	0	80	50	100	50	50	50	50	30	2	0
22	2	2	14	1	1	1	1	1	1	1	1	3	1	100	100	100	100	60	70	80	100	80	100	1	0
37	2	4	18	1	1	1	1	1	1	2	1	3	1	0	0	0	0	0	0	0	0	0	0	1	0
27	1	2	20	2	2	2	2	2	2	3	2	1	2	0	0	50	50	50	50	50	50	50	14	2	0
21	2	2	15	1	1	1	1	1	1	1	1	1	1	100	100	100	100	100	50	50	50	100	100	1	0
29	2	4	17	1	1	1	3	1	1	1	1	3	1	100	100	90	80	90	70	80	95	80	100	1	0
19	1	2	12	1	1	1	1	1	3	1	2	3	1	100	100	70	50	50	50	60	90	50	98	1	0
29	1	4	18	1	1	1	1	1	1	1	1	1	1	100	100	100	100	50	50	50	50	50	100	1	0
25	1	2	18	2	2	2	2	2	2	2	2	2	2	100	100	100	100	50	50	100	100	100	100	2	0
21	1	2	15	1	1	3	3	1	3	3	1	1	1	95	100	90	85	65	50	50	89	50	95	1	0
28	1	4	14	2	1	1	3	2	1	2	1	2	1	0	0	0	100	0	0	0	98	50	100	3	0
