m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,sex,age
4,4,4,4,4,4,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,4,4,4,4,5,4,5,1,43
5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,1,53
5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,58
4,4,4,5,4,4,4,4,1,4,5,3,4,4,5,4,5,4,5,3,3,2,3,5,4,3,5,3,3,3,,5,,
5,5,2,4,4,1,2,4,4,4,5,3,4,5,5,4,5,3,1,4,5,5,2,4,4,2,2,1,2,1,1,5,1,53
5,5,5,5,4,2,,3,4,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,4,5,5,3,5,5,5,5,1,52
4,5,5,,2,1,2,4,3,3,,,5,2,2,3,5,0,4,4,,,3,5,4,3,2,2,3,4,,4,,
5,4,4,5,4,2,3,4,4,4,4,3,3,5,4,4,5,4,4,5,3,5,4,4,4,4,4,5,4,4,5,4,1,60
3,3,2,3,4,3,4,4,4,3,3,2,3,3,3,3,,,,,,,,,,,,,,,,,,
5,5,4,3,3,3,3,4,4,3,3,3,3,5,5,5,5,5,4,5,5,5,3,4,5,4,3,2,4,4,5,5,,
5,5,4,4,4,4,3,3,4,3,3,3,3,4,5,5,5,3,3,5,3,4,3,5,3,4,4,2,4,4,4,5,1,51
5,5,4,5,5,1,4,5,2,4,3,5,4,3,5,3,5,5,5,5,5,5,4,5,4,5,4,2,4,4,4,5,1,60
2,3,3,2,3,2,2,3,3,3,2,2,3,3,3,2,3,4,3,4,4,3,2,2,2,3,2,2,3,3,3,3,1,54
5,5,4,2,3,3,3,3,1,2,2,3,5,3,3,3,4,3,5,5,5,5,2,1,1,2,3,2,4,2,2,4,1,54
4,4,4,4,3,3,3,3,3,3,3,2,4,3,4,3,4,3,3,4,4,4,2,4,3,4,2,2,2,3,3,3,,
4,4,4,5,3,2,4,4,3,2,4,4,4,4,4,4,5,5,3,5,5,4,4,4,4,4,4,3,4,5,4,4,1,57
4,5,4,5,5,5,0,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,4,4,4,4,4,2,2,5,5,5,2,53
4,5,3,4,4,4,5,3,3,3,2,2,4,4,2,4,4,5,5,3,4,5,4,3,4,2,5,3,4,5,4,4,,
3,4,3,3,3,2,3,4,4,4,3,,4,,2,,,,2,2,,2,1,2,4,2,1,0,5,5,4,4,2,41
2,,,3,1,3,1,2,4,2,3,4,3,4,,3,,3,3,4,4,4,2,4,3,2,3,,2,5,4,4,,
4,2,3,4,2,3,1,3,3,3,5,4,5,3,4,4,3,5,2,4,4,4,3,4,4,3,4,2,3,3,3,5,2,44
5,5,5,2,1,2,0,0,1,3,2,,2,0,2,,0,5,5,3,,1,0,1,0,0,2,0,3,0,0,3,1,31
5,4,,4,2,,1,4,3,3,4,,2,3,3,3,1,5,2,4,4,4,2,4,3,1,3,1,4,5,4,4,1,30
2,4,2,2,1,3,2,0,1,3,1,1,2,2,2,4,2,4,2,4,4,4,1,3,2,2,1,0,3,2,5,5,1,46
3,4,4,2,0,1,0,2,4,5,3,3,4,3,3,3,2,3,4,2,4,5,1,2,1,2,2,1,2,3,3,3,1,30
3,4,2,3,3,1,1,3,2,2,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,
4,5,5,4,1,3,1,1,1,1,5,4,3,5,3,5,,5,4,5,5,5,3,3,2,4,5,3,4,4,4,4,1,23
3,4,4,3,3,3,2,3,4,3,3,4,3,3,3,3,3,4,3,4,3,3,2,2,2,2,2,2,2,4,4,4,1,50
2,3,1,2,0,3,1,3,4,3,2,2,1,3,3,2,1,3,4,2,3,1,2,1,1,1,1,0,2,0,1,2,2,38
3,4,0,1,3,2,2,1,4,2,2,2,5,2,2,,2,4,4,3,2,1,,2,3,,3,3,5,,,5,,
5,4,4,5,4,3,5,4,4,4,4,4,5,5,5,5,5,5,4,5,4,4,5,5,5,5,4,3,4,4,4,5,1,50
4,5,4,4,3,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,5,5,3,4,4,4,5,4,4,4,3,5,1,31
4,4,4,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,2,2,,3,,4,5,,4,1,63
4,5,3,4,3,3,4,3,3,1,2,2,4,3,4,2,1,3,2,4,4,4,1,2,2,2,2,1,4,4,3,4,1,51
4,4,4,3,3,2,2,2,3,2,4,3,3,3,2,3,3,2,3,5,4,4,4,3,4,4,4,3,3,3,4,3,1,25
3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
4,5,,4,3,4,4,0,3,2,0,,2,0,,1,,5,4,5,,5,1,3,0,0,4,3,3,3,,3,1,38
